Date,Platform,Account_Name,Followers,Posts,Engagement_Rate,Impressions,Reach,Likes,Comments,Shares,Click_Through_Rate
2024-01-01,Instagram,TechCompany,125000,3,4.2,450000,380000,15750,2100,3150,2.8
2024-01-01,Twitter,TechCompany,89000,5,3.8,320000,280000,33820,4450,1780,1.9
2024-01-01,LinkedIn,TechCompany,45000,2,6.1,180000,150000,27450,1800,900,4.2
2024-01-01,Facebook,TechCompany,156000,4,2.9,520000,420000,45240,3120,6240,1.5
2024-01-02,Instagram,TechCompany,125500,2,4.5,380000,320000,16875,2250,3375,3.1
2024-01-02,Twitter,TechCompany,89200,4,4.1,280000,240000,36572,4800,1920,2.2
2024-01-02,LinkedIn,TechCompany,45200,1,6.8,120000,100000,30736,2000,1000,5.1
2024-01-02,Facebook,TechCompany,156800,3,3.2,420000,340000,50176,3456,6912,1.8
2024-01-03,Instagram,TechCompany,126000,4,4.8,520000,440000,20160,2688,4032,3.5
2024-01-03,Twitter,TechCompany,89500,6,3.9,360000,310000,34905,4590,1836,2.0
2024-01-03,LinkedIn,TechCompany,45500,2,6.5,160000,135000,29575,1900,950,4.8
2024-01-03,Facebook,TechCompany,157600,5,2.7,580000,470000,42552,2928,5856,1.3
2024-01-04,Instagram,TechCompany,126500,3,4.3,420000,360000,18195,2426,3639,2.9
2024-01-04,Twitter,TechCompany,89800,4,4.3,300000,260000,38614,5080,2032,2.4
2024-01-04,LinkedIn,TechCompany,45800,1,7.2,100000,85000,32976,2100,1050,5.8

