Date,City,Country,Temperature_C,Temperature_F,Humidity_Percent,Pressure_hPa,Wind_Speed_kmh,Wind_Direction,Weather_Condition,UV_Index,Visibility_km
2024-01-01,New York,USA,5.2,41.4,65,1013.2,15.5,NW,Partly Cloudy,2,10.0
2024-01-01,London,UK,8.7,47.7,72,1008.5,12.3,SW,Rain,1,8.5
2024-01-01,Tokyo,Japan,12.3,54.1,58,1015.8,8.9,NE,Sunny,4,15.0
2024-01-02,New York,USA,3.8,38.8,70,1012.1,18.2,N,Snow,1,5.0
2024-01-02,London,UK,7.2,45.0,78,1006.9,14.7,W,Overcast,1,6.0
2024-01-02,Tokyo,Japan,11.8,53.2,61,1014.2,7.5,E,Partly Cloudy,3,12.0
2024-01-03,New York,USA,6.5,43.7,63,1014.8,11.8,SE,Sunny,3,12.0
2024-01-03,London,UK,9.1,48.4,69,1010.3,10.2,SW,Light Rain,2,9.0
2024-01-03,Tokyo,Japan,13.7,56.7,55,1016.5,6.2,NE,Clear,5,20.0
2024-01-04,New York,USA,4.2,39.6,68,1011.5,16.4,NW,Cloudy,2,8.0
2024-01-04,London,UK,6.8,44.2,75,1007.8,13.1,W,Rain,1,7.0
2024-01-04,Tokyo,Japan,10.9,51.6,62,1013.9,9.8,E,Partly Cloudy,3,11.0
2024-01-05,New York,USA,7.8,46.0,60,1015.2,9.6,SW,Sunny,4,15.0
2024-01-05,London,UK,8.5,47.3,71,1009.6,11.5,SW,Partly Cloudy,2,10.0
2024-01-05,Tokyo,Japan,14.2,57.6,53,1017.1,5.4,NE,Clear,5,25.0

